Species,Class,Category,Habitat,PopTrend,Rep_AOO_km2,Rep_EOO_km2,Elev_lower,Elev_upper,ForestDependency,Unprotected_nPixels,PA_nPixels,IL_nPixels,PIA_nPixels,total_nPixels,fracPA,fracIL,fracPIA,fracUnPro,ThreatScore,Threat,fracIPL,percentHabitat_IPL
Pulsatrix koeniswaldiana,AVES,LC,Forest unimportant,Decreasing,NA,1040000,NA,1500,Medium,210972,52346,16217,6570,286105,0.182960801,0.056681987,0.022963597,0.737393614,2,Not Threatened,0.079645585,20
Ramphastos culminatus,AVES,VU,Forest generalist,Decreasing,NA,7320000,0,1700,High,2051108,890417,655058,1157844,4754427,0.187281664,0.137778538,0.243529662,0.431410136,8,Threatened,0.3813082,40
Pteroglossus frantzii,AVES,LC,Forest important,Decreasing,NA,35100,NA,1200,High,10781,1970,2322,206,15279,0.12893514,0.151973297,0.013482558,0.705609006,2,Not Threatened,0.165455854,20
Pyrrhomyias cinnamomeus,AVES,LC,Forest important,Stable,NA,5370000,600,3350,Medium,242033,81834,36505,9569,369941,0.221208247,0.098677897,0.025866287,0.654247569,2,Not Threatened,0.124544184,20
Ptilinopus solomonensis,AVES,LC,Forest generalist,Stable,NA,790000,NA,1500,Medium,68182,715,0,0,68897,0.01037781,0,0,0.98962219,2,Not Threatened,0,0
Ptilinopus dupetithouarsii,AVES,LC,Forest generalist,Decreasing,NA,14700,NA,NA,Medium,13,0,1028,0,1041,0,0.987512008,0,0.012487992,2,Not Threatened,0.987512008,99
Rhipidura albiventris,AVES,LC,Forest important,Stable,NA,65200,NA,NA,Medium,31073,2757,0,0,33830,0.081495714,0,0,0.918504286,2,Not Threatened,0,0
Psilopogon rafflesii,AVES,NT,Forest generalist,Decreasing,NA,3180000,NA,600,High,211422,23815,242872,33532,511641,0.046546309,0.474692216,0.065538141,0.413223334,4,Not Threatened,0.540230357,60
Regulus regulus,AVES,LC,Forest generalist,Decreasing,NA,50900000,NA,4000,Medium,666945,21267,368023,20256,1076491,0.019755855,0.341872807,0.018816692,0.619554646,2,Not Threatened,0.360689499,40
Pyrrhura molinae,AVES,LC,Forest important,Decreasing,NA,1290000,NA,2600,High,285795,116842,86764,45822,535223,0.218305267,0.162108131,0.085612913,0.533973689,2,Not Threatened,0.247721043,40
Pulsatrix melanota,AVES,LC,Forest important,Decreasing,NA,1190000,600,1600,High,45432,25786,20000,1467,92685,0.278211145,0.215784647,0.015827804,0.490176404,2,Not Threatened,0.231612451,40
Ramphastos cuvieri,AVES,LC,Forest generalist,Decreasing,NA,5820000,NA,1440,Medium,2006412,1072002,672314,989078,4739806,0.226170016,0.141844202,0.208674785,0.423310996,2,Not Threatened,0.350518987,40
Pteroglossus humboldti,AVES,LC,Forest generalist,Decreasing,NA,2530000,NA,1000,Medium,1051782,450346,293311,327012,2122451,0.212182048,0.138194474,0.154072815,0.495550663,2,Not Threatened,0.292267289,40
Rhipidura nebulosa,AVES,LC,Forest generalist,Stable,NA,3500,NA,NA,Medium,2330,80,0,0,2410,0.033195021,0,0,0.966804979,2,Not Threatened,0,0
Pyrrhula aurantiaca,AVES,LC,Forest important,Stable,NA,201000,2700,3900,Medium,5450,173,379,2,6004,0.028814124,0.063124584,3.33E-04,0.907728181,2,Not Threatened,0.063457695,20
Ptilinopus speciosus,AVES,LC,Forest generalist,Stable,NA,9500,NA,NA,Medium,1808,322,856,267,3253,0.098985552,0.263141715,0.082078082,0.555794651,2,Not Threatened,0.345219797,40
Rhipidura albogularis,AVES,LC,Forest generalist,Stable,NA,1920000,NA,NA,Medium,1335887,44543,366249,23537,1770216,0.025162466,0.206895091,0.013296118,0.754646326,2,Not Threatened,0.220191208,40
Ptilinopus eugeniae,AVES,NT,Forest important,Decreasing,NA,5200,NA,700,Medium,3283,0,0,0,3283,0,0,0,1,4,Not Threatened,0,0
Regulus satrapa,AVES,LC,Forest important,Increasing,NA,21200000,2300,3700,High,10448,4493,4313,1279,20533,0.218818487,0.210052111,0.062289972,0.508839429,2,Not Threatened,0.272342083,40
Pyrrhura orcesi,AVES,EN,Forest important,Decreasing,NA,3800,800,1300,High,823,0,0,0,823,0,0,0,1,16,Threatened,0,0
Pulsatrix perspicillata,AVES,LC,Forest generalist,Decreasing,NA,18200000,NA,1000,Medium,4241734,1833102,945248,1660937,8681021,0.211162028,0.108886731,0.191329683,0.488621557,2,Not Threatened,0.300216415,40
Ramphastos dicolorus,AVES,LC,Forest generalist,Decreasing,NA,1730000,100,1500,Medium,303108,51042,27108,7936,389194,0.131147962,0.069651639,0.020390859,0.77880954,2,Not Threatened,0.090042498,20
Rhipidura nigritorquis,AVES,LC,Forest generalist,Stable,NA,1020000,NA,NA,Medium,231160,35786,17757,3654,288357,0.124103108,0.061579917,0.012671792,0.801645183,2,Not Threatened,0.074251709,20
Piranga rubra,AVES,LC,Forest generalist,Stable,NA,5680000,NA,1800,Medium,2222239,512893,934717,629050,4298899,0.11930799,0.217431719,0.146328164,0.516932126,2,Not Threatened,0.363759884,40
Pteroglossus inscriptus,AVES,LC,Forest generalist,Decreasing,NA,3920000,NA,1000,Medium,1083437,478816,75328,504131,2141712,0.223566941,0.035171863,0.235386924,0.505874273,2,Not Threatened,0.270558787,40
Pyrrhula erythaca,AVES,LC,Forest generalist,Stable,NA,4890000,2000,4100,Medium,109238,10806,161879,17010,298933,0.036148568,0.541522682,0.056902383,0.365426366,2,Not Threatened,0.598425065,60
Ptilinopus superbus,AVES,LC,Forest generalist,Decreasing,NA,9610000,0,1600,Medium,735812,39240,258568,63374,1096994,0.035770478,0.235705938,0.057770599,0.670752985,2,Not Threatened,0.293476537,40
Rhipidura albolimbata,AVES,LC,Forest generalist,Stable,NA,638000,1370,3600,Medium,95937,6883,21592,14425,138837,0.049576122,0.155520502,0.103898817,0.691004559,2,Not Threatened,0.259419319,40
Ptilinopus fasciatus,AVES,LC,Forest generalist,Stable,NA,15300,NA,NA,Medium,3323,82,204,42,3651,0.0224596,0.055875103,0.011503698,0.9101616,2,Not Threatened,0.0673788,20
Reinwardtoena browni,AVES,NT,Forest important,Decreasing,NA,256000,NA,1000,High,46423,519,0,0,46942,0.011056197,0,0,0.988943803,4,Not Threatened,0,0
Pycnonotus bimaculatus,AVES,NT,Forest generalist,Decreasing,NA,676000,800,3000,Medium,14540,3461,21419,13138,52558,0.06585106,0.407530728,0.24997146,0.276646752,4,Not Threatened,0.657502188,80
Ramphastos sulfuratus,AVES,LC,Forest generalist,Decreasing,NA,2310000,NA,1600,Medium,211308,90274,136523,55669,493774,0.182824531,0.276488839,0.112741862,0.427944768,2,Not Threatened,0.389230701,40
Pyrrhura pacifica,AVES,LC,Forest important,Stable,NA,33400,NA,500,Medium,16454,822,3426,26,20728,0.039656503,0.165283674,0.001254342,0.793805481,2,Not Threatened,0.166538016,20
Rhipidura nigrocinnamomea,AVES,LC,Forest important,Decreasing,NA,80300,NA,NA,High,4583,2758,3828,890,12059,0.228708848,0.317439257,0.073803798,0.380048097,2,Not Threatened,0.391243055,40
Pyrrhula erythrocephala,AVES,LC,Forest generalist,Stable,NA,462000,2700,4200,Medium,14001,4822,7165,1116,27104,0.17790732,0.264352125,0.041174734,0.516565821,2,Not Threatened,0.30552686,40
Pteroglossus pluricinctus,AVES,LC,Forest important,Decreasing,NA,2400000,NA,900,High,521782,284496,429441,463349,1699068,0.167442386,0.25275092,0.272707743,0.307098951,2,Not Threatened,0.525458663,60
Rhipidura assimilis,AVES,LC,Forest generalist,Stable,NA,15900,NA,NA,Medium,1088,335,0,0,1423,0.235418131,0,0,0.764581869,2,Not Threatened,0,0
Ptilinopus tannensis,AVES,LC,Forest generalist,Decreasing,NA,82700,NA,500,Medium,10652,509,0,0,11161,0.045605233,0,0,0.954394767,2,Not Threatened,0,0
Ptilinopus gestroi,AVES,LC,Forest important,Stable,NA,777000,200,1350,Medium,136399,6899,72645,18566,234509,0.029418914,0.309774891,0.079169669,0.581636526,2,Not Threatened,0.388944561,40
Reinwardtoena crassirostris,AVES,NT,Forest important,Decreasing,NA,152000,NA,1100,High,36250,0,0,175,36425,0,0,0.004804393,0.995195607,4,Not Threatened,0.004804393,20
Ramphastos toco,AVES,LC,Forest generalist,Decreasing,NA,9600000,NA,1750,Medium,1438682,332293,176550,110522,2058047,0.161460355,0.085785213,0.053702369,0.699052062,2,Not Threatened,0.139487582,20
Rhipidura obiensis,AVES,LC,Forest generalist,Stable,NA,3600,NA,NA,Medium,260,0,2616,189,3065,0,0.853507341,0.061663948,0.084828711,2,Not Threatened,0.915171289,99
Pycnonotus brunneus,AVES,LC,Forest generalist,Decreasing,NA,3610000,NA,NA,Medium,762373,43570,474686,56766,1337395,0.032578258,0.354933284,0.042445201,0.570043256,2,Not Threatened,0.397378486,40
Pyrrhura parvifrons,AVES,LC,Forest generalist,Decreasing,NA,138000,100,2000,Medium,34037,6292,7763,22,48114,0.130772748,0.16134597,4.57E-04,0.707424035,2,Not Threatened,0.161803217,20
Pyrrhulagra nigra,AVES,NT,Forest generalist,Decreasing,NA,223000,NA,900,Medium,35415,11149,0,0,46564,0.239433897,0,0,0.760566103,4,Not Threatened,0,0
Pteroglossus sanguineus,AVES,LC,Forest generalist,Decreasing,NA,236000,NA,1000,High,77438,9245,26465,6300,119448,0.077397696,0.221560847,0.052742616,0.648298841,2,Not Threatened,0.274303463,40
Rhipidura atra,AVES,LC,Forest important,Stable,NA,839000,NA,NA,Medium,139057,8809,42249,29271,219386,0.040152972,0.192578378,0.13342237,0.63384628,2,Not Threatened,0.326000748,40
Ptilinopus temminckii,AVES,LC,Forest generalist,Decreasing,NA,482000,NA,1600,Medium,57786,4213,78658,12258,152915,0.027551254,0.514390348,0.080162182,0.377896217,2,Not Threatened,0.594552529,60
Ramphastos tucanus,AVES,VU,Forest generalist,Decreasing,NA,3240000,NA,1440,Medium,798002,517853,175156,654722,2145733,0.241340838,0.081629914,0.305127432,0.371901816,8,Threatened,0.386757346,40
Rhipidura ocularis,AVES,LC,Forest important,Stable,NA,1700,NA,NA,High,1360,0,0,0,1360,0,0,0,1,2,Not Threatened,0,0
Ptilinopus granulifrons,AVES,VU,Forest generalist,Decreasing,NA,2900,40,550,Medium,101,0,1486,2,1589,0,0.935179358,0.001258653,0.063561989,8,Threatened,0.936438011,99
Reinwardtoena reinwardti,AVES,LC,Forest unimportant,Stable,NA,1650000,NA,3380,High,422715,21709,220209,66250,730883,0.029702428,0.301291725,0.090643783,0.578362063,2,Not Threatened,0.391935508,40
Pycnonotus cafer,AVES,LC,Forest generalist,Increasing,NA,7030000,NA,NA,Medium,3905491,119396,1210729,71529,5307145,0.022497218,0.228131886,0.013477868,0.735893027,2,Not Threatened,0.241609754,40
Pyrrhura perlata,AVES,VU,Forest important,Stable,NA,1140000,NA,NA,High,736501,335848,32096,240554,1344999,0.249701301,0.023863215,0.178850691,0.547584794,8,Threatened,0.202713905,40
Pyrrhulagra portoricensis,AVES,LC,Forest generalist,Decreasing,NA,9900,NA,1000,Medium,5810,285,0,0,6095,0.046759639,0,0,0.953240361,2,Not Threatened,0,0
Pteroglossus sturmii,AVES,NT,Forest generalist,Decreasing,NA,1390000,0,550,High,467363,349668,11775,293557,1122363,0.311546264,0.010491258,0.261552635,0.416409842,4,Not Threatened,0.272043893,40
Rhipidura bouruensis,AVES,LC,Forest generalist,Stable,NA,10000,NA,NA,Medium,4026,0,4670,77,8773,0,0.532315058,0.008776929,0.458908013,2,Not Threatened,0.541091987,60
Ramphastos vitellinus,AVES,VU,Forest generalist,Decreasing,NA,2100000,0,1700,High,590092,465466,178502,572181,1806241,0.257698723,0.098825129,0.316779987,0.326696161,8,Threatened,0.415605116,60
Ptilinopus viridis,AVES,LC,Forest generalist,Stable,NA,2380000,600,1200,Medium,7455,818,5935,3515,17723,0.046154714,0.334875585,0.198329854,0.420639847,2,Not Threatened,0.533205439,60
Rhipidura opistherythra,AVES,NT,Forest important,Decreasing,1800,6100,NA,NA,High,786,44,2133,802,3765,0.011686587,0.566533865,0.213014608,0.20876494,4,Not Threatened,0.779548473,80
Rhabdornis grandis,AVES,LC,Forest important,Decreasing,NA,41600,NA,NA,High,10722,2380,3137,3054,19293,0.123360804,0.162597833,0.158295755,0.555745607,2,Not Threatened,0.320893588,40
Ptilinopus greyi,AVES,LC,Forest generalist,Stable,NA,1430000,NA,NA,Medium,25894,4519,7335,425,38173,0.118382103,0.192151521,0.011133524,0.678332853,2,Not Threatened,0.203285044,40
Pycnonotus flavescens,AVES,LC,Forest generalist,Stable,NA,2160000,800,2100,Medium,33180,7400,342299,55663,438542,0.016874096,0.780538694,0.126927409,0.0756598,2,Not Threatened,0.907466104,99
Pyrrhura peruviana,AVES,LC,Forest generalist,Decreasing,NA,259000,100,1650,Medium,13914,5232,18762,59,37967,0.137803882,0.494165986,0.001553981,0.36647615,2,Not Threatened,0.495719967,60
Pyrrhulagra taylori,AVES,NT,Forest generalist,Decreasing,NA,380,NA,900,Medium,113,21,0,0,134,0.156716418,0,0,0.843283582,4,Not Threatened,0,0
Pteroglossus torquatus,AVES,LC,Forest generalist,Decreasing,NA,2780000,NA,1000,High,295930,107903,156630,58852,619315,0.174229592,0.252908455,0.095027571,0.477834382,2,Not Threatened,0.347936026,40
Rhipidura brachyrhyncha,AVES,LC,Forest important,Stable,NA,551000,1160,3900,High,90406,8416,23280,14581,136683,0.061573129,0.170321108,0.106677495,0.661428268,2,Not Threatened,0.276998603,40
Rhipidura perlata,AVES,LC,Forest important,Decreasing,NA,2920000,NA,NA,Medium,738742,36578,630616,99272,1505208,0.02430096,0.418956051,0.065952347,0.490790642,2,Not Threatened,0.484908398,60
Ramphiculus epius,AVES,LC,Forest important,Decreasing,NA,393000,NA,800,Medium,39985,2898,44514,3864,91261,0.031755076,0.487765858,0.042340101,0.438138964,2,Not Threatened,0.53010596,60
Ptilinopus wallacii,AVES,LC,Forest generalist,Stable,NA,185000,NA,250,Medium,7183,704,4429,1039,13355,0.052714339,0.331636091,0.077798577,0.537850992,2,Not Threatened,0.409434669,60
Rhopias gularis,AVES,LC,Forest generalist,Decreasing,NA,847000,400,1550,High,126972,33408,264,1459,162103,0.206091189,0.001628594,0.00900045,0.783279767,2,Not Threatened,0.010629044,20
Rhabdornis inornatus,AVES,LC,Forest important,Decreasing,NA,252000,NA,NA,High,101419,12510,19587,2127,135643,0.092227391,0.144401112,0.015680868,0.747690629,2,Not Threatened,0.16008198,20
Ptilinopus hernsheimi,AVES,LC,Forest generalist,Stable,NA,130,NA,NA,Medium,136,0,0,0,136,0,0,0,1,2,Not Threatened,0,0
Pycnonotus leucogenys,AVES,LC,Forest generalist,Increasing,NA,992000,300,2400,Medium,68044,9654,73257,2145,153100,0.063056826,0.478491182,0.014010451,0.444441541,2,Not Threatened,0.492501633,60
Pyrrhulagra violacea,AVES,LC,Forest generalist,Stable,NA,667000,NA,2000,Medium,35925,12471,0,0,48396,0.257686586,0,0,0.742313414,2,Not Threatened,0,0
Pteroglossus viridis,AVES,LC,Forest generalist,Stable,NA,1660000,NA,800,Medium,516646,401059,144101,472013,1533819,0.261477397,0.093949156,0.307737093,0.336836354,2,Not Threatened,0.401686249,60
Pyrrhura picta,AVES,LC,Forest generalist,Decreasing,NA,1560000,100,2000,Medium,276243,301316,114392,481339,1173290,0.256812894,0.097496783,0.410247253,0.23544307,2,Not Threatened,0.507744036,60
Rhipidura personata,AVES,NT,Forest generalist,Decreasing,NA,910,NA,NA,High,575,0,0,23,598,0,0,0.038461538,0.961538462,4,Not Threatened,0.038461538,20
Ramphiculus fischeri,AVES,LC,Forest important,Decreasing,NA,235000,1000,3000,Medium,4809,344,21663,6576,33392,0.010301869,0.648748203,0.196933397,0.144016531,2,Not Threatened,0.8456816,99
Rhipidura cinerea,AVES,LC,Forest generalist,Stable,NA,36800,NA,NA,Medium,5539,116,14247,1579,21481,0.005400121,0.663237279,0.07350682,0.25785578,2,Not Threatened,0.736744099,80
Ptiliogonys cinereus,AVES,LC,Forest generalist,Stable,NA,1200000,1000,3500,Medium,99576,21107,62530,8883,192096,0.109877353,0.325514326,0.046242504,0.518365817,2,Not Threatened,0.37175683,40
Rhabdornis mystacalis,AVES,LC,Forest important,Decreasing,NA,654000,NA,NA,High,237505,26705,26246,6534,296990,0.089918852,0.088373346,0.022000741,0.799707061,2,Not Threatened,0.110374087,20
Pyrrhula leucogenis,AVES,LC,Forest important,Stable,NA,299000,NA,1750,Medium,9777,2128,3616,1107,16628,0.127976906,0.217464518,0.066574453,0.587984123,2,Not Threatened,0.28403897,40
Pteronetta hartlaubii,AVES,LC,Forest generalist,Decreasing,NA,6110000,NA,NA,High,3289624,454643,1154816,134492,5033575,0.090322087,0.229422627,0.026718982,0.653536304,2,Not Threatened,0.256141609,40
Pycnonotus leucops,AVES,LC,Forest generalist,Stable,NA,101000,900,3500,Medium,215,311,25197,10878,36601,0.008497036,0.688423814,0.297204994,0.005874156,2,Not Threatened,0.985628808,99
Rhipidura phasiana,AVES,LC,Forest generalist,Stable,NA,3930000,NA,NA,Medium,385779,843,6681,225,393528,0.00214216,0.016977191,5.72E-04,0.980308898,2,Not Threatened,0.017548942,20
Pyrrhura rhodocephala,AVES,LC,Forest important,Stable,NA,17000,800,3100,Medium,3966,4509,2,84,8561,0.526690807,2.34E-04,0.009811938,0.463263637,2,Not Threatened,0.010045555,20
Ramphiculus jambu,AVES,NT,Forest important,Decreasing,NA,3590000,NA,1500,Medium,426273,38686,528777,97160,1090896,0.035462592,0.484718067,0.089064402,0.390754939,4,Not Threatened,0.573782469,60
Rhipidura cockerelli,AVES,LC,Forest important,Decreasing,NA,136000,NA,1150,Medium,29821,0,0,175,29996,0,0,0.005834111,0.994165889,2,Not Threatened,0.005834111,20
Ptilocichla falcata,AVES,VU,Forest important,Decreasing,NA,22600,NA,1350,High,302,2634,0,255,3191,0.825446568,0,0.079912253,0.094641178,8,Threatened,0.079912253,20
Roraimia adusta,AVES,LC,Forest important,Stable,NA,210000,1000,2500,High,1321,1,2319,17713,21354,4.68E-05,0.108597921,0.829493303,0.061861946,2,Not Threatened,0.938091224,99
Rhabdornis rabori,AVES,VU,Forest important,Decreasing,NA,41000,NA,NA,High,26073,2753,0,0,28826,0.095504059,0,0,0.904495941,8,Threatened,0,0
Pyrrhula nipalensis,AVES,LC,Forest generalist,Stable,NA,5830000,1350,3300,Medium,173666,13363,230380,21886,439295,0.030419194,0.524431191,0.049820735,0.395328879,2,Not Threatened,0.574251926,60
Rhopornis ardesiacus,AVES,EN,Forest generalist,Decreasing,NA,12000,100,900,Medium,1035,165,0,0,1200,0.1375,0,0,0.8625,16,Threatened,0,0
Pterophanes cyanopterus,AVES,LC,Forest generalist,Stable,NA,2270000,2600,3700,Medium,42508,18543,5516,1289,67856,0.273269866,0.08128979,0.018996109,0.626444235,2,Not Threatened,0.1002859,20
Rhipidura phoenicura,AVES,LC,Forest important,Decreasing,NA,53400,1000,2500,High,2328,1109,3718,1178,8333,0.133085323,0.446177847,0.141365655,0.279371175,2,Not Threatened,0.587543502,60
Ramphiculus leclancheri,AVES,LC,Forest unimportant,Decreasing,NA,1250000,NA,700,Medium,119676,26140,17150,3355,166321,0.157165962,0.103113858,0.020171836,0.719548343,2,Not Threatened,0.123285695,20
Pycnonotus nieuwenhuisii,AVES,DD,Forest generalist,Stable,NA,650000,60,700,Medium,6978,789,8651,2057,18475,0.04270636,0.468254398,0.111339648,0.377699594,0,Data Deficient,0.579594046,60
Pyrrhura roseifrons,AVES,LC,Forest generalist,Decreasing,NA,1000000,100,2000,Medium,286607,151223,125803,129421,693054,0.218198005,0.181519766,0.186740139,0.413542091,2,Not Threatened,0.368259905,40
Rhipidura coultasi,AVES,NT,Forest important,Decreasing,NA,9700,NA,1150,Medium,4718,0,0,0,4718,0,0,0,1,4,Not Threatened,0,0
Rhipidura rennelliana,AVES,LC,Forest important,Stable,NA,980,NA,NA,Medium,486,325,0,0,811,0.400739827,0,0,0.599260173,2,Not Threatened,0,0
Rhabdotorrhinus corrugatus,AVES,EN,Forest important,Decreasing,NA,2980000,NA,30,High,140804,12462,36818,9521,199605,0.062433306,0.184454297,0.047699206,0.705413191,16,Threatened,0.232153503,40
Pteruthius aenobarbus,AVES,LC,Forest important,Decreasing,NA,5660000,NA,NA,High,294841,23297,802364,132426,1252928,0.018594045,0.640391148,0.105693224,0.235321583,2,Not Threatened,0.746084372,80
Ramphiculus mangoliensis,AVES,NT,Forest important,Decreasing,NA,7600,NA,1100,Medium,1411,35,2780,40,4266,0.008204407,0.651664323,0.009376465,0.330754805,4,Not Threatened,0.661040788,80
Pycnonotus penicillatus,AVES,NT,Forest generalist,Decreasing,NA,6900,900,2000,Medium,2078,609,0,0,2687,0.226646818,0,0,0.773353182,4,Not Threatened,0,0
Rhipidura cyaniceps,AVES,LC,Forest important,Stable,NA,212000,NA,NA,Medium,76004,12188,8281,5645,102118,0.119352122,0.081092462,0.055279187,0.744276229,2,Not Threatened,0.136371648,20
Pyrrhura rupicola,AVES,LC,Forest important,Stable,NA,609000,NA,1100,High,251573,134735,94097,50736,531141,0.253670871,0.177160114,0.095522658,0.473646358,2,Not Threatened,0.272682772,40
Sarcops calvus,AVES,LC,Forest generalist,Unknown,NA,833000,NA,NA,Medium,246611,26852,24929,6840,305232,0.087972428,0.081672302,0.022409184,0.807946087,2,Not Threatened,0.104081486,20
Rhipidura rufidorsa,AVES,LC,Forest important,Decreasing,NA,1050000,NA,NA,High,358780,14911,175327,35403,584421,0.025514141,0.300001198,0.060577905,0.613906756,2,Not Threatened,0.360579103,40
Ramphiculus marchei,AVES,VU,Forest important,Decreasing,NA,114000,450,1500,High,13896,4807,3884,3641,26228,0.183277413,0.148086015,0.138821107,0.529815464,8,Threatened,0.286907122,40
Rhabdotorrhinus exarhatus,AVES,VU,Forest important,Decreasing,NA,415000,NA,650,High,24902,1737,36464,3691,66794,0.02600533,0.545917298,0.055259454,0.372817918,8,Threatened,0.601176752,80
Pteruthius aeralatus,AVES,LC,Forest generalist,Decreasing,NA,13200000,NA,NA,High,1984448,74241,2063915,232005,4354609,0.017048833,0.473961038,0.053278033,0.455712097,2,Not Threatened,0.52723907,60
Rufirallus castaneiceps,AVES,LC,Forest important,Decreasing,NA,1190000,200,1500,Medium,142908,86522,112132,56068,397630,0.217594246,0.282000855,0.141005457,0.359399442,2,Not Threatened,0.423006312,60
Rhynchocyclus aequinoctialis,AVES,LC,Forest important,Stable,NA,5800000,NA,1000,High,1319391,586556,365696,440094,2711737,0.216302687,0.134856736,0.162292287,0.48654829,2,Not Threatened,0.297149023,40
Spinus olivaceus,AVES,LC,Forest important,Decreasing,NA,913000,1200,3000,Medium,52134,27629,12205,3471,95439,0.289493813,0.127882731,0.03636878,0.546254676,2,Not Threatened,0.164251511,20
Spelaeornis kinneari,AVES,VU,Forest important,Decreasing,NA,2400,1400,2500,High,136,0,4178,738,5052,0,0.826999208,0.14608076,0.026920032,8,Threatened,0.973079968,99
Rhipidura dahli,AVES,LC,Forest important,Stable,NA,110000,NA,NA,High,50550,324,0,0,50874,0.006368676,0,0,0.993631324,2,Not Threatened,0,0
Pycnonotus simplex,AVES,LC,Forest generalist,Decreasing,NA,4040000,0,1100,Medium,423342,35137,484692,73993,1017164,0.034544085,0.476513129,0.072744415,0.416198371,2,Not Threatened,0.549257544,60
Sarcoramphus papa,AVES,LC,Forest generalist,Decreasing,NA,21600000,NA,1500,High,4871110,1928732,1154493,1709449,9663784,0.199583517,0.119465936,0.176892302,0.504058245,2,Not Threatened,0.296358238,40
Pyrrhura snethlageae,AVES,VU,Forest generalist,Decreasing,NA,563000,100,2000,Medium,87023,46342,6675,51640,191680,0.241767529,0.034823664,0.269407346,0.454001461,8,Threatened,0.30423101,40
Rhipidura rufifrons,AVES,LC,Forest generalist,Decreasing,NA,13200000,NA,NA,Medium,725449,24168,130359,17041,897017,0.026942633,0.145325005,0.01899741,0.808734952,2,Not Threatened,0.164322415,20
Ramphiculus meridionalis,AVES,VU,Forest important,Decreasing,470,1100,1000,3000,Medium,461,0,282,33,776,0,0.363402062,0.042525773,0.594072165,8,Threatened,0.405927835,60
Rhabdotorrhinus leucocephalus,AVES,NT,Forest important,Decreasing,NA,168000,300,1000,High,18295,1741,7886,656,28578,0.060920988,0.275946532,0.02295472,0.640177759,4,Not Threatened,0.298901253,40
Pteruthius flaviscapis,AVES,LC,Forest generalist,Decreasing,NA,148000,NA,NA,High,52750,2500,18264,2516,76030,0.032881757,0.240220965,0.0330922,0.693805077,2,Not Threatened,0.273313166,40
Spinus pinus,AVES,LC,Forest generalist,Stable,NA,22500000,1800,4000,Medium,58459,13307,22391,4366,98523,0.135064909,0.22726673,0.044314526,0.593353836,2,Not Threatened,0.271581255,40
Spelaeornis longicaudatus,AVES,VU,Forest important,Decreasing,NA,6700,1000,2000,High,0,0,3974,0,3974,0,1,0,0,8,Threatened,1,100
Rhipidura dedemi,AVES,LC,Forest important,Stable,NA,11300,NA,NA,High,122,40,2975,1426,4563,0.008766163,0.651983344,0.312513697,0.026736796,2,Not Threatened,0.964497041,99
Rhipidura rufilateralis,AVES,NT,Forest generalist,Decreasing,NA,1400,NA,NA,Medium,254,54,0,53,361,0.149584488,0,0.146814404,0.703601108,4,Not Threatened,0.146814404,20
Saroglossa spilopterus,AVES,LC,Forest generalist,Decreasing,NA,159000,1000,NA,Medium,24507,1212,84177,6471,116367,0.010415324,0.723375184,0.055608549,0.210600944,2,Not Threatened,0.778983733,80
Ramphiculus merrilli,AVES,NT,Forest important,Decreasing,NA,193000,NA,1100,High,33369,9382,4810,3521,51082,0.183665479,0.094162327,0.06892839,0.653243804,4,Not Threatened,0.163090717,20
Pyrrhura viridicata,AVES,EN,Forest important,Decreasing,NA,1600,1800,2800,High,56,35,5,545,641,0.054602184,0.007800312,0.850234009,0.087363495,16,Threatened,0.858034321,99
Rhabdotorrhinus waldeni,AVES,CR,Forest important,Decreasing,NA,31000,300,1200,High,1454,560,0,0,2014,0.278053625,0,0,0.721946375,32,Threatened,0,0
Spinus spinescens,AVES,LC,Forest generalist,Stable,NA,616000,1800,3700,Medium,45358,18554,2986,3011,69909,0.265402166,0.042712669,0.043070277,0.648814888,2,Not Threatened,0.085782946,20
Pteruthius melanotis,AVES,LC,Forest important,Decreasing,NA,4170000,NA,NA,High,190723,17570,803321,70831,1082445,0.016231772,0.742135628,0.065436119,0.176196481,2,Not Threatened,0.807571747,99
Spelaeornis oatesi,AVES,LC,Forest generalist,Stable,NA,36800,1300,2800,High,0,0,12519,1870,14389,0,0.870039614,0.129960386,0,2,Not Threatened,1,100
Rhipidura rufiventris,AVES,LC,Forest generalist,Stable,NA,57400,NA,NA,Medium,31407,3530,1641,242,36820,0.095871809,0.044568169,0.006572515,0.852987507,2,Not Threatened,0.051140684,20
Rhynchocyclus brevirostris,AVES,LC,Forest important,Decreasing,NA,1740000,NA,2250,High,184605,90091,140073,49920,464689,0.193873752,0.301433862,0.107426688,0.397265698,2,Not Threatened,0.40886055,60
Ramphiculus occipitalis,AVES,LC,Forest important,Decreasing,NA,654000,NA,1800,Medium,137898,24208,25195,6574,193875,0.124863959,0.129954868,0.033908446,0.711272727,2,Not Threatened,0.163863314,20
Rhipidura diluta,AVES,LC,Forest generalist,Stable,NA,70200,NA,NA,Medium,21818,1240,12205,711,35974,0.034469339,0.339272808,0.019764274,0.606493579,2,Not Threatened,0.359037082,40
Sarothrura elegans,AVES,LC,Forest generalist,Stable,NA,16000000,NA,3200,Medium,3843751,411531,531555,97808,4884645,0.08424993,0.108821624,0.020023564,0.786904883,2,Not Threatened,0.128845187,20
Starnoenas cyanocephala,AVES,EN,Forest important,Decreasing,NA,198000,NA,NA,High,26013,10480,0,0,36493,0.287178363,0,0,0.712821637,16,Threatened,0,0
